,type,block_type,Clasificacion Mamual,makes_sense,text,description,,coordinates_points,filetype,languages,page_number,filename,detection_class_prob,parent_id,image_path,,,,element_id
58,Title,Title,Title,TRUE,4 Results,The text '4 Results' is a heading that likely introduces a section of a document where results are discussed.,,"((297.14093017578125, 1504.8990478515625), (297.14093017578125, 1540.3351022222218), (455.539794921875, 1540.3351022222218), (455.539794921875, 1504.8990478515625))",application/pdf,['eng'],5,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.833058119,,,,,,c53619e770b686d2c739eaa19ae1c93d
59,Title,Title,Title,TRUE,4.1 Open-domain Question Answering,This text block is a section heading indicating a specific part of a document related to open-domain question answering.,,"((298.3166198730469, 1574.0682872222221), (298.3166198730469, 1601.742176111111), (775.4529418945312, 1601.742176111111), (775.4529418945312, 1574.0682872222221))",application/pdf,['eng'],5,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.866592586,,,,,,46a88f2d086d8626f6c694b54605ef5a
60,NarrativeText,NarrativeText,NarrativeText,TRUE,"Table 1 shows results for RAG along with state-of-the-art models. On all four open-domain QA tasks, RAG sets a new state of the art (only on the T5-comparable split for TQA). RAG combines the generation ﬂexibility of the “closed-book” (parametric only) approaches and the performance of ""open-book"" retrieval-based approaches. Unlike REALM and T5+SSM, RAG enjoys strong results without expensive, specialized “salient span masking” pre-training [20]. It is worth noting that RAG’s retriever is initialized using DPR’s retriever, which uses retrieval supervision on Natural Questions and TriviaQA. RAG compares favourably to the DPR QA system, which uses a BERT-based “cross- encoder” to re-rank documents, along with an extractive reader. RAG demonstrates that neither a re-ranker nor extractive reader is necessary for state-of-the-art performance.","The text discusses the performance of the RAG model in comparison to other state-of-the-art models on open-domain QA tasks. It highlights RAG's advantages, such as not requiring expensive pre-training and not needing a re-ranker or extractive reader for state-of-the-art performance.",,"((299.0027777777778, 1629.335205078125), (299.0027777777778, 1899.8470044444446), (1410.6458740234375, 1899.8470044444446), (1410.6458740234375, 1629.335205078125))",application/pdf,['eng'],5,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.95199883,46a88f2d086d8626f6c694b54605ef5a,,,,,0520451468ffaba8e273d4dca739c79c
61,NarrativeText,NarrativeText,NarrativeText,TRUE,"There are several advantages to generating answers even when it is possible to extract them. Docu- ments with clues about the answer but do not contain the answer verbatim can still contribute towards a correct answer being generated, which is not possible with standard extractive approaches, leading","The text discusses the advantages of generating answers over extracting them, particularly in cases where documents contain clues but not the exact answer verbatim.",,"((296.2929992675781, 1917.6981155555554), (296.2929992675781, 2005.97756), (1411.20947265625, 2005.97756), (1411.20947265625, 1917.6981155555554))",application/pdf,['eng'],5,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.938223004,46a88f2d086d8626f6c694b54605ef5a,,,,,6fef0d8e0a13c261a6e6a9d78a493a48
62,Footer,UncategorizedText,UncategorizedText,FALSE,5,The text '5' does not provide enough context or information to be classified into any specific category.,,"((842.5166625976562, 2061.325893333333), (842.5166625976562, 2088.999782222222), (857.4764404296875, 2088.999782222222), (857.4764404296875, 2061.325893333333))",application/pdf,['eng'],5,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.743658781,,,,,,e9ebc5eac859348bb2fd10ee17b9b149
63,FigureCaption,FigureCaption,FigureCaption,TRUE,"Table 1: Open-Domain QA Test Scores. For TQA, left column uses the standard test set for Open- Domain QA, right column uses the TQA-Wiki test set. See Appendix D for further details. Table 2: Generation and classiﬁcation Test Scores. MS-MARCO SotA is [4], FEVER-3 is [68] and FEVER-2 is [57] *Uses gold context/evidence. Best model without gold access underlined.","The text block provides descriptions and details for two tables: Table 1, which shows Open-Domain QA Test Scores, and Table 2, which shows Generation and Classification Test Scores. It also references specific test sets and models used in the evaluations.",,"((296.57073974609375, 218.8870044444444), (296.57073974609375, 338.0053377777778), (1404.8495682777782, 338.0053377777778), (1404.8495682777782, 218.8870044444444))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.74523896,,,,,,c4914ad233c82284ca32c89b4fc5b195
64,Title,Title,UncategorizedText,TRUE,Model,"The text 'Model' serves as a heading or title, likely indicating a section or part of a document related to a model or modeling.",,"((392.75852341666666, 364.4403745710223), (392.75852341666666, 387.70494470435546), (453.5023160348, 387.70494470435546), (453.5023160348, 364.4403745710223))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,,,,,965e762a3c1af12888fa2e935a6c4bb0
65,Title,UncategorizedText,UncategorizedText,FALSE,NQ,The text 'NQ' does not provide enough context or information to be classified into any specific category.,,"((554.3309629926666, 364.4403745710223), (554.3309629926666, 387.70494470435546), (587.9250022652, 387.70494470435546), (587.9250022652, 364.4403745710223))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,,,,,ed29d81c7a3d9420df44e72467022495
66,Title,UncategorizedText,UncategorizedText,FALSE,TQA WQ CT,The text 'TQA WQ CT' does not make sense by itself and does not fit into any of the specified categories.,,"((632.2207437990667, 364.4403745710223), (632.2207437990667, 387.70494470435546), (817.3601929201335, 387.70494470435546), (817.3601929201335, 364.4403745710223))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,,,,,37e262b8bdf1d9706cc4e259763278b6
67,Table,,,,Closed Book T5-11B [52] 34.5 T5-11B+SSM[52] 36.6 - - /50.1 37.4 /60.5 44.7 - - Model B-1 Label Acc. Open Book REALM [20] DPR [26] 40.4 / 41.5 57.9/ - - - 40.7 46.8 41.1 50.6 SotA BART - - 15.1 19.7 49.8* 49.9* 38.2 41.6 76.8 64.0 81.1 RAG-Token RAG-Seq. 44.1 55.2/66.1 45.5 50.0 44.5 56.8/68.0 45.2 52.2 RAG-Tok. 17.3 22.2 RAG-Seq. 14.7 21.4 40.1 40.8 41.5 44.2 72.5 89.5,,,"((308.11322021484375, 368.03558349609375), (308.11322021484375, 590.8518676757812), (1381.2183837890625, 590.8518676757812), (1381.2183837890625, 368.03558349609375))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.811567426,37e262b8bdf1d9706cc4e259763278b6,./images/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/table-6-1.jpg,,,,fc93745836bfdc84a55fd9430bee2fac
68,Title,UncategorizedText,UncategorizedText,FALSE,Jeopardy MSMARCO FVR3 FVR2 B-1 QB-1 R-L,The text block does not provide a clear or coherent meaning and does not fit into any of the specified categories.,,"((992.9372099444445, 386.2354078290224), (992.9372099444445, 436.33099579568926), (1386.154556709111, 436.33099579568926), (1386.154556709111, 386.2354078290224))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,,,,,f44d1cf8fef8b2ff5b80dae5c516be55
69,UncategorizedText,UncategorizedText,UncategorizedText,FALSE,92.2*,The text '92.2*' does not provide enough context or information to be classified into any specific category.,,"((1330.4555505220442, 452.577934722089), (1330.4555505220442, 476.47437179568925), (1383.8407441777777, 476.47437179568925), (1383.8407441777777, 452.577934722089))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,f44d1cf8fef8b2ff5b80dae5c516be55,,,,,cfaaf16b077044b13132b0bc585bc22c
70,NarrativeText,NarrativeText,NarrativeText,TRUE,"to more effective marginalization over documents. Furthermore, RAG can generate correct answers even when the correct answer is not in any retrieved document, achieving 11.8% accuracy in such cases for NQ, where an extractive model would score 0%.","The text discusses the effectiveness of RAG in generating correct answers even when the correct answer is not in any retrieved document, highlighting its performance in comparison to an extractive model for NQ.",,"((295.8925476074219, 654.8008933333332), (295.8925476074219, 743.0831155555555), (1404.2330322265625, 743.0831155555555), (1404.2330322265625, 654.8008933333332))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.83710885,f44d1cf8fef8b2ff5b80dae5c516be55,,,,,6e33d105bf50cfc2d7df3c3817dc125e
71,Title,Title,Title,TRUE,4.2 Abstractive Question Answering,"This text block is a sectional heading indicating a specific part of a document, likely related to a subsection on Abstractive Question Answering.",,"((297.6317138671875, 782.6905094444443), (297.6317138671875, 810.3643983333332), (750.0015258789062, 810.3643983333332), (750.0015258789062, 782.6905094444443))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.868717313,,,,,,58c76b08a3a9cc6baef5d0322b1b2d51
72,NarrativeText,NarrativeText,NarrativeText,TRUE,"As shown in Table 2, RAG-Sequence outperforms BART on Open MS-MARCO NLG by 2.6 Bleu points and 2.6 Rouge-L points. RAG approaches state-of-the-art model performance, which is impressive given that (i) those models access gold passages with speciﬁc information required to generate the reference answer , (ii) many questions are unanswerable without the gold passages, and (iii) not all questions are answerable from Wikipedia alone. Table 3 shows some generated answers from our models. Qualitatively, we ﬁnd that RAG models hallucinate less and generate factually correct text more often than BART. Later, we also show that RAG generations are more diverse than BART generations (see §4.5).","This text block discusses the performance of the RAG-Sequence model compared to the BART model on the Open MS-MARCO NLG dataset. It highlights the superior performance of RAG-Sequence in terms of Bleu and Rouge-L points, and mentions qualitative findings regarding the factual correctness and diversity of generated answers.",,"((299.0027777777778, 838.3703377777778), (299.0027777777778, 1078.1664488888887), (1407.37255859375, 1078.1664488888887), (1407.37255859375, 838.3703377777778))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.951719284,58c76b08a3a9cc6baef5d0322b1b2d51,,,,,7309e3f1e5ca99396e2b782b743471ed
73,Title,Title,NarrativeText,TRUE,Jeopardy Question Generation,"The text 'Jeopardy Question Generation' serves as a main or sectional heading, indicating the topic or focus of the content that follows.",,"((299.3175354003906, 1117.6370849609375), (299.3175354003906, 1145.4477316666666), (729.5635986328125, 1145.4477316666666), (729.5635986328125, 1117.6370849609375))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.869344056,,,,,,e40ab7d69d01e1098a2d6904a1236214
74,NarrativeText,,NarrativeText,,"Table 2 shows that RAG-Token performs better than RAG-Sequence on Jeopardy question generation, with both models outperforming BART on Q-BLEU-1. 4 shows human evaluation results, over 452 pairs of generations from BART and RAG-Token. Evaluators indicated that BART was more factual than RAG in only 7.1% of cases, while RAG was more factual in 42.7% of cases, and both RAG and BART were factual in a further 17% of cases, clearly demonstrating the effectiveness of RAG on the task over a state-of-the-art generation model. Evaluators also ﬁnd RAG generations to be more speciﬁc by a large margin. Table 3 shows typical generations from each model.",,,"((299.0027777777778, 1173.4536711111111), (299.0027777777778, 1382.9470044444442), (1410.11083984375, 1382.9470044444442), (1410.11083984375, 1173.4536711111111))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.947323263,e40ab7d69d01e1098a2d6904a1236214,,,,,a72e6d4104f0839dd921f47b8baafa53
75,NarrativeText,NarrativeText,NarrativeText,TRUE,"Jeopardy questions often contain two separate pieces of information, and RAG-Token may perform best because it can generate responses that combine content from several documents. Figure 2 shows an example. When generating “Sun”, the posterior is high for document 2 which mentions “The Sun Also Rises”. Similarly, document 1 dominates the posterior when “A Farewell to Arms” is generated. Intriguingly, after the ﬁrst token of each book is generated, the document posterior ﬂattens. This observation suggests that the generator can complete the titles without depending on speciﬁc documents. In other words, the model’s parametric knowledge is sufﬁcient to complete the titles. We ﬁnd evidence for this hypothesis by feeding the BART-only baseline with the partial decoding ""The Sun. BART completes the generation ""The Sun Also Rises"" is a novel by this author of ""The Sun Also Rises"" indicating the title ""The Sun Also Rises"" is stored in BART’s parameters. Similarly, BART will complete the partial decoding ""The Sun Also Rises"" is a novel by this author of ""A with ""The Sun Also Rises"" is a novel by this author of ""A Farewell to Arms"". This example shows how parametric and non-parametric memories work together—the non-parametric component helps to guide the generation, drawing out speciﬁc knowledge stored in the parametric memory.",The text discusses the performance of the RAG-Token model in generating responses by combining content from several documents. It provides an example involving the titles 'The Sun Also Rises' and 'A Farewell to Arms' to illustrate how the model's parametric and non-parametric memories work together.,,"((299.0027777777778, 1400.7953377777776), (299.0027777777778, 1822.4081155555555), (1407.6715087890625, 1822.4081155555555), (1407.6715087890625, 1400.7953377777776))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.94713676,e40ab7d69d01e1098a2d6904a1236214,,,,,5bb55248d6e17830bf32ecc5966b28f6
76,Title,Title,Title,TRUE,4.4 Fact Veriﬁcation,"This text block is a sectional heading indicating a specific part of a document, likely related to the verification of facts.",,"((299.0622863769531, 1862.0182872222222), (299.0622863769531, 1889.692176111111), (561.35205078125, 1889.692176111111), (561.35205078125, 1862.0182872222222))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.858159184,,,,,,0ce35442b011e926034f4a17087165d7
77,NarrativeText,FigureCaption,NarrativeText,TRUE,"Table 2 shows our results on FEVER. For 3-way classiﬁcation, RAG scores are within 4.3% of state-of-the-art models, which are complex pipeline systems with domain-speciﬁc architectures and substantial engineering, trained using intermediate retrieval supervision, which RAG does not require.","This text block describes the results shown in Table 2, comparing RAG scores to state-of-the-art models in a 3-way classification task on FEVER.",,"((296.4414978027344, 1917.6981155555554), (296.4414978027344, 2005.97756), (1410.7568359375, 2005.97756), (1410.7568359375, 1917.6981155555554))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.939475,0ce35442b011e926034f4a17087165d7,,,,,dbdcb5302c7d929ea86a1dbaee0476c4
78,UncategorizedText,Title,UncategorizedText,TRUE,6,The text '6' could represent a section or chapter number in a document.,,"((843.0805555555555, 2061.325893333333), (843.0805555555555, 2088.999782222222), (856.9174999999999, 2088.999782222222), (856.9174999999999, 2061.325893333333))",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,0ce35442b011e926034f4a17087165d7,,,,,b57a2da14e9f50248f6ac41517d7cfd2
79,Image,,,,"Document 1: his works are considered classics of American Doc1 [ ] | literature ... His wartime experiences formed the basis for hisnovel .o . A Farewell to Arms” (1929) ... Doc3 Document 2: ... artists of the 1920s “Lost Generation” expatriate Pocd community. His debut novel, “The Sun Also Rises”, was published ¢ in1926. Doc5 Q,O(”‘ * &g%\,e QV,,OQ- & t e »\\C@@ & f\sc\ * vd&f\\ovﬁ&“",,,"((306.7382507324219, 205.90560913085938), (306.7382507324219, 376.34130859375), (1392.760009765625, 376.34130859375), (1392.760009765625, 205.90560913085938))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.755687654,,./images/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/figure-7-2.jpg,,,,944a8b5e15e363827924bb2a2357d4dd
80,Image,,,,[ ] | .,,,"((860.7219087166667, 207.0827171388888), (860.7219087166667, 328.25355047222206), (1389.02674205, 328.25355047222206), (1389.02674205, 207.0827171388888))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,./images/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/figure-7-3.jpg,,,,a05f36f7225b00cff5dc813d802bb729
81,NarrativeText,FigureCaption,FigureCaption,TRUE,"Figure 2: RAG-Token document posterior p(zi|x, yi, y−i) for each generated token for input “Hem- ingway"" for Jeopardy generation with 5 retrieved documents. The posterior for document 1 is high when generating “A Farewell to Arms"" and for document 2 when generating “The Sun Also Rises"".","This text is a caption for Figure 2, describing the RAG-Token document posterior for each generated token for the input 'Hemingway' in a Jeopardy generation context with 5 retrieved documents.",,"((298.70782470703125, 388.43095666666665), (298.70782470703125, 477.3220044444444), (1405.38525390625, 477.3220044444444), (1405.38525390625, 388.43095666666665))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.833110213,,,,,,27b24fa17f19b96c0b1d7988c7cbda7a
82,NarrativeText,FigureCaption,FigureCaption,TRUE,"Table 3: Examples from generation tasks. RAG models generate more speciﬁc and factually accurate responses. ‘?’ indicates factually incorrect responses, * indicates partially correct responses.","This text block is a caption for Table 3, describing examples from generation tasks and the performance of RAG models in generating specific and factually accurate responses.",,"((297.888671875, 534.3592266666665), (297.888671875, 592.3386711111112), (1403.4249267578125, 592.3386711111112), (1403.4249267578125, 534.3592266666665))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.934244931,,,,,,677e0e49b8f042eef5660e49e46088e1
83,Table,,,,"Task Input Model Generation MS- MARCO deﬁne middle ear what currency needed in scotland BART ?The middle ear is the part of the ear between the middle ear and the nose. RAG-T The middle ear is the portion of the ear internal to the eardrum. RAG-S The middle ear includes the tympanic cavity and the three ossicles. BART The currency needed in Scotland is Pound sterling. RAG-T Pound is the currency needed in Scotland. RAG-S The currency needed in Scotland is the pound sterling. Jeopardy Question Gener -ation Washington The Divine Comedy BART ?This state has the largest number of counties in the U.S. RAG-T It’s the only U.S. state named for a U.S. president RAG-S It’s the state where you’ll ﬁnd Mount Rainier National Park BART *This epic poem by Dante is divided into 3 parts: the Inferno, the Purgatorio & the Purgatorio RAG-T Dante’s ""Inferno"" is the ﬁrst part of this epic poem RAG-S This 14th century work is divided into 3 sections: ""Inferno"", ""Purgatorio"" & ""Paradiso""",,,"((299.7635498046875, 617.55419921875), (299.7635498046875, 970.5542602539062), (1379.8585205078125, 970.5542602539062), (1379.8585205078125, 617.55419921875))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.638618171,,./images/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/table-7-2.jpg,,,,cbf087e60000fbff990d958f34e3f1cf
84,NarrativeText,NarrativeText,NarrativeText,TRUE,"For 2-way classiﬁcation, we compare against Thorne and Vlachos [57], who train RoBERTa [35] to classify the claim as true or false given the gold evidence sentence. RAG achieves an accuracy within 2.7% of this model, despite being supplied with only the claim and retrieving its own evidence. We also analyze whether documents retrieved by RAG correspond to documents annotated as gold evidence in FEVER. We calculate the overlap in article titles between the top k documents retrieved by RAG and gold evidence annotations. We ﬁnd that the top retrieved document is from a gold article in 71% of cases, and a gold article is present in the top 10 retrieved articles in 90% of cases.","The text discusses the performance comparison of RAG and RoBERTa models in a 2-way classification task, including accuracy metrics and analysis of document retrieval in the FEVER dataset.",,"((298.7, 1037.5842266666666), (298.7, 1247.0747822222222), (1410.6202392578125, 1247.0747822222222), (1410.6202392578125, 1037.5842266666666))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.95014894,,,,,,8e9037cfc7c3605a6ff69e60d4a1f398
85,Title,Title,Title,TRUE,4.5 Additional Results,This text block is a sectional heading indicating additional results in a document.,,"((297.3058776855469, 1289.207176111111), (297.3058776855469, 1316.881065), (583.10302734375, 1316.881065), (583.10302734375, 1289.207176111111))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.886207759,,,,,,d593ed09f1e2481a0bd2298672ec7755
86,NarrativeText,NarrativeText,NarrativeText,TRUE,"Generation Diversity Section 4.3 shows that RAG models are more factual and speciﬁc than BART for Jeopardy question generation. Following recent work on diversity-promoting decoding [33, 59, 39], we also investigate generation diversity by calculating the ratio of distinct ngrams to total ngrams generated by different models. Table 5 shows that RAG-Sequence’s generations are more diverse than RAG-Token’s, and both are signiﬁcantly more diverse than BART without needing any diversity-promoting decoding.","The text discusses the diversity and factual accuracy of different models (RAG and BART) for generating Jeopardy questions, comparing their performance in terms of n-gram diversity.",,"((300.0, 1345.5155094444444), (300.0, 1524.8997822222223), (1409.1641845703125, 1524.8997822222223), (1409.1641845703125, 1345.5155094444444))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.944633186,d593ed09f1e2481a0bd2298672ec7755,,,,,0a2523bcb3f30398d8ca5afd602dacec
87,NarrativeText,,NarrativeText,,"Retrieval Ablations A key feature of RAG is learning to retrieve relevant information for the task. To assess the effectiveness of the retrieval mechanism, we run ablations where we freeze the retriever during training. As shown in Table 6, learned retrieval improves results for all tasks.",,,"((298.34661865234375, 1563.293287222222), (298.34661865234375, 1651.766448888889), (1411.313232421875, 1651.766448888889), (1411.313232421875, 1563.293287222222))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.943106055,d593ed09f1e2481a0bd2298672ec7755,,,,,2b4b2c80ba8477a43e338a135b9f00fb
88,NarrativeText,NarrativeText,NarrativeText,TRUE,"We compare RAG’s dense retriever to a word overlap-based BM25 retriever [53]. Here, we replace RAG’s retriever with a ﬁxed BM25 system, and use BM25 retrieval scores as logits when calculating p(z|x). Table 6 shows the results. For FEVER, BM25 performs best, perhaps since FEVER claims are heavily entity-centric and thus well-suited for word overlap-based retrieval. Differentiable retrieval improves results on all other tasks, especially for Open-Domain QA, where it is crucial.","The text discusses a comparison between RAG’s dense retriever and a BM25 retriever, highlighting the performance differences across various tasks, particularly noting the effectiveness of BM25 for FEVER and the advantages of differentiable retrieval for Open-Domain QA.",,"((298.7, 1669.61756), (298.7, 1818.5025599999997), (1408.5947265625, 1818.5025599999997), (1408.5947265625, 1669.61756))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.951090634,d593ed09f1e2481a0bd2298672ec7755,,,,,858979d8a4b9dc39fe3dde88450c77cf
89,NarrativeText,NarrativeText,NarrativeText,TRUE,"Index hot-swapping An advantage of non-parametric memory models like RAG is that knowledge can be easily updated at test time. Parametric-only models like T5 or BART need further training to update their behavior as the world changes. To demonstrate, we build an index using the DrQA [5] Wikipedia dump from December 2016 and compare outputs from RAG using this index to the newer index from our main results (December 2018). We prepare a list of 82 world leaders who had changed","The text discusses the advantages of non-parametric memory models like RAG over parametric-only models like T5 or BART, particularly in the context of updating knowledge at test time. It also mentions an experiment comparing outputs from RAG using different indices from Wikipedia dumps of different years.",,"((298.7, 1856.8988427777779), (298.7, 2005.97756), (1403.882568359375, 2005.97756), (1403.882568359375, 1856.8988427777779))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.944082618,d593ed09f1e2481a0bd2298672ec7755,,,,,3a70a1dd5397de59bbbab4a96c2d6b69
90,Footer,UncategorizedText,UncategorizedText,FALSE,7,The text '7' does not provide enough context or information to be classified into any specific category.,,"((842.4220581054688, 2061.325893333333), (842.4220581054688, 2088.999782222222), (857.6384887695312, 2088.999782222222), (857.6384887695312, 2061.325893333333))",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.748104811,,,,,,fd7067354188004d3409af2776a56ccf
91,NarrativeText,FigureCaption,FigureCaption,TRUE,Table 4: Human assessments for the Jeopardy Question Generation Task.,This text block is a caption for a table that presents human assessments for the Jeopardy Question Generation Task.,,"((299.14166666666665, 218.8870044444444), (299.14166666666665, 276.8636711111112), (844.8018188476562, 276.8636711111112), (844.8018188476562, 218.8870044444444))",application/pdf,['eng'],8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.825096428,,,,,,a49acf4ac971ad8068e885bacc3b3cfc
92,Title,FigureCaption,FigureCaption,TRUE,Table 5: Ratio of distinct to total tri-grams for generation tasks.,"This text is a caption for a table, specifically describing the ratio of distinct to total tri-grams for generation tasks.",,"((860.1361111111111, 218.8870044444444), (860.1361111111111, 276.8636711111112), (1400.4643638444445, 276.8636711111112), (1400.4643638444445, 218.8870044444444))",application/pdf,['eng'],8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,,,,,7202ce69f7ea087b41e2cf96783a4507
93,Table,,NarrativeText,,Factuality Speciﬁcity MSMARCO Jeopardy QGen BART better RAG better Both good Both poor No majority 7.1% 42.7% 11.7% 17.7% 20.8% 16.8% 37.4% 11.8% 6.9% 20.1% Gold BART RAG-Token RAG-Seq. 89.6% 70.7% 77.8% 83.5% 90.0% 32.4% 46.8% 53.8%,,,"((351.8543701171875, 300.869384765625), (351.8543701171875, 482.17822265625), (1389.088623046875, 482.17822265625), (1389.088623046875, 300.869384765625))",application/pdf,['eng'],8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.849101663,7202ce69f7ea087b41e2cf96783a4507,./images/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/table-8-3.jpg,,,,fa90dba547107ceeebfedeaf6f53df24
94,FigureCaption,FigureCaption,FigureCaption,TRUE,"Table 6: Ablations on the dev set. As FEVER is a classiﬁcation task, both RAG models are equivalent.","This text block is a caption for a table, specifically Table 6, discussing ablations on the dev set in the context of a classification task related to FEVER and RAG models.",,"((299.14166666666665, 549.9342266666666), (299.14166666666665, 577.6081155555557), (1400.72607421875, 577.6081155555557), (1400.72607421875, 549.9342266666666))",application/pdf,['eng'],8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.750838697,7202ce69f7ea087b41e2cf96783a4507,,,,,49f51a4ba2fa63b24152d482d35d2c3e
95,Table,,,,Model NQ TQA WQ Exact Match CT Jeopardy-QGen MSMarco B-1 B-1 QB-1 R-L RAG-Token-BM25 RAG-Sequence-BM25 29.7 31.8 41.5 44.1 32.1 36.6 33.1 33.8 17.5 11.1 22.3 19.5 55.5 56.5 48.4 46.9 75.1 91.6 RAG-Token-Frozen RAG-Sequence-Frozen 37.8 41.2 50.1 52.1 37.1 41.8 51.1 52.6 16.7 11.8 21.7 19.6 55.9 56.7 49.4 47.3 72.9 89.4 RAG-Token RAG-Sequence 43.5 44.0 54.8 55.8 46.5 44.9 51.9 53.4 17.9 15.3 22.6 21.5 56.2 57.2 49.4 47.5 74.5 90.6,,,"((311.1646728515625, 595.7740478515625), (311.1646728515625, 875.1912841796875), (1406.42822265625, 875.1912841796875), (1406.42822265625, 595.7740478515625))",application/pdf,['eng'],8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.925201535,7202ce69f7ea087b41e2cf96783a4507,./images/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/table-8-4.jpg,,,,005f32363edfe5d5a1e01bb1235715a7
96,Title,Title,UncategorizedText,TRUE,FVR-3 FVR-2 Label Accuracy,"The text appears to be a title or heading, possibly for a section that discusses the accuracy of different FVR (Feature Vector Representation) models.",,"((1244.0665777777776, 604.7120622222224), (1244.0665777777776, 657.290951111111), (1415.6486044444446, 657.290951111111), (1415.6486044444446, 604.7120622222224))",application/pdf,['eng'],8,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,,,,,a50cba15bb9e9fae609ace2f860ccdcf
