,type,element_id,text,coordinates_points,coordinates_system,coordinates_layout_width,coordinates_layout_height,last_modified,filetype,languages,page_number,file_directory,filename,detection_class_prob,parent_id,image_path,next_block,makes_sense,block_type,description,table_text,image_description
58,Title,c53619e770b686d2c739eaa19ae1c93d,4 Results,"((297.14093017578125, 1504.8990478515625), (297.14093017578125, 1540.3351022222218), (455.539794921875, 1540.3351022222218), (455.539794921875, 1504.8990478515625))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],5,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8330581188201904,,,4.1 Open-domain Question Answering,True,Title,This is likely a section or subsection title indicating a numbered list of results.,,
59,Title,46a88f2d086d8626f6c694b54605ef5a,4.1 Open-domain Question Answering,"((298.3166198730469, 1574.0682872222221), (298.3166198730469, 1601.742176111111), (775.4529418945312, 1601.742176111111), (775.4529418945312, 1574.0682872222221))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],5,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8665925860404968,,,"Table 1 shows results for RAG along with state-of-the-art models. On all four open-domain QA tasks, RAG sets a new state of the art (only on the T5-comparable split for TQA). RAG combines the generation ﬂexibility of the “closed-book” (parametric only) approaches and the performance of ""open-book"" retrieval-based approaches. Unlike REALM and T5+SSM, RAG enjoys strong results without expensive, specialized “salient span masking” pre-training [20]. It is worth noting that RAG’s retriever is initialized using DPR’s retriever, which uses retrieval supervision on Natural Questions and TriviaQA. RAG compares favourably to the DPR QA system, which uses a BERT-based “cross- encoder” to re-rank documents, along with an extractive reader. RAG demonstrates that neither a re-ranker nor extractive reader is necessary for state-of-the-art performance.",True,Title,A section title likely introducing a subsection about open-domain question answering.,,
60,NarrativeText,0520451468ffaba8e273d4dca739c79c,"Table 1 shows results for RAG along with state-of-the-art models. On all four open-domain QA tasks, RAG sets a new state of the art (only on the T5-comparable split for TQA). RAG combines the generation ﬂexibility of the “closed-book” (parametric only) approaches and the performance of ""open-book"" retrieval-based approaches. Unlike REALM and T5+SSM, RAG enjoys strong results without expensive, specialized “salient span masking” pre-training [20]. It is worth noting that RAG’s retriever is initialized using DPR’s retriever, which uses retrieval supervision on Natural Questions and TriviaQA. RAG compares favourably to the DPR QA system, which uses a BERT-based “cross- encoder” to re-rank documents, along with an extractive reader. RAG demonstrates that neither a re-ranker nor extractive reader is necessary for state-of-the-art performance.","((299.0027777777778, 1629.335205078125), (299.0027777777778, 1899.8470044444446), (1410.6458740234375, 1899.8470044444446), (1410.6458740234375, 1629.335205078125))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],5,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9519988298416138,46a88f2d086d8626f6c694b54605ef5a,,"There are several advantages to generating answers even when it is possible to extract them. Docu- ments with clues about the answer but do not contain the answer verbatim can still contribute towards a correct answer being generated, which is not possible with standard extractive approaches, leading",True,NarrativeText,"This paragraph discusses the performance of the RAG model on open-domain question answering tasks, comparing it to other state-of-the-art models. It highlights RAG's advantages, such as its flexibility and strong results without needing specialized pre-training or components like re-rankers or extractive readers.",,
61,NarrativeText,6fef0d8e0a13c261a6e6a9d78a493a48,"There are several advantages to generating answers even when it is possible to extract them. Docu- ments with clues about the answer but do not contain the answer verbatim can still contribute towards a correct answer being generated, which is not possible with standard extractive approaches, leading","((296.2929992675781, 1917.6981155555554), (296.2929992675781, 2005.97756), (1411.20947265625, 2005.97756), (1411.20947265625, 1917.6981155555554))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],5,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9382230043411256,46a88f2d086d8626f6c694b54605ef5a,,5,True,NarrativeText,"This block discusses the advantages of generative approaches over extractive approaches in answering questions, particularly highlighting the ability to handle documents that contain clues about the answer without explicitly stating it.",,
62,Footer,e9ebc5eac859348bb2fd10ee17b9b149,5,"((842.5166625976562, 2061.325893333333), (842.5166625976562, 2088.999782222222), (857.4764404296875, 2088.999782222222), (857.4764404296875, 2061.325893333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],5,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.7436587810516357,,,"Table 1: Open-Domain QA Test Scores. For TQA, left column uses the standard test set for Open- Domain QA, right column uses the TQA-Wiki test set. See Appendix D for further details. Table 2: Generation and classiﬁcation Test Scores. MS-MARCO SotA is [4], FEVER-3 is [68] and FEVER-2 is [57] *Uses gold context/evidence. Best model without gold access underlined.",True,UncategorizedText,"The text block contains a single numeral '5', which lacks clear meaning in isolation.",,
63,FigureCaption,c4914ad233c82284ca32c89b4fc5b195,"Table 1: Open-Domain QA Test Scores. For TQA, left column uses the standard test set for Open- Domain QA, right column uses the TQA-Wiki test set. See Appendix D for further details. Table 2: Generation and classiﬁcation Test Scores. MS-MARCO SotA is [4], FEVER-3 is [68] and FEVER-2 is [57] *Uses gold context/evidence. Best model without gold access underlined.","((296.57073974609375, 218.8870044444444), (296.57073974609375, 338.0053377777778), (1404.8495682777782, 338.0053377777778), (1404.8495682777782, 218.8870044444444))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.7452389597892761,,,Model,True,FigureCaption,Provides a description of the test scores for open-domain QA in Table 1 and generation and classification scores in Table 2.,,
64,Title,965e762a3c1af12888fa2e935a6c4bb0,Model,"((392.75852341666666, 364.4403745710223), (392.75852341666666, 387.70494470435546), (453.5023160348, 387.70494470435546), (453.5023160348, 364.4403745710223))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,,NQ,True,UncategorizedText,"The text block simply contains the word 'Model', which doesn't provide enough information to categorize it meaningfully. It could potentially refer to a statistical model, a machine learning model, or something else entirely, depending on the context.",,
65,Title,ed29d81c7a3d9420df44e72467022495,NQ,"((554.3309629926666, 364.4403745710223), (554.3309629926666, 387.70494470435546), (587.9250022652, 387.70494470435546), (587.9250022652, 364.4403745710223))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,,TQA WQ CT,True,UncategorizedText,Meaning is unclear without further context.,,
66,Title,37e262b8bdf1d9706cc4e259763278b6,TQA WQ CT,"((632.2207437990667, 364.4403745710223), (632.2207437990667, 387.70494470435546), (817.3601929201335, 387.70494470435546), (817.3601929201335, 364.4403745710223))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,,Closed Book T5-11B [52] 34.5 T5-11B+SSM[52] 36.6 - - /50.1 37.4 /60.5 44.7 - - Model B-1 Label Acc. Open Book REALM [20] DPR [26] 40.4 / 41.5 57.9/ - - - 40.7 46.8 41.1 50.6 SotA BART - - 15.1 19.7 49.8* 49.9* 38.2 41.6 76.8 64.0 81.1 RAG-Token RAG-Seq. 44.1 55.2/66.1 45.5 50.0 44.5 56.8/68.0 45.2 52.2 RAG-Tok. 17.3 22.2 RAG-Seq. 14.7 21.4 40.1 40.8 41.5 44.2 72.5 89.5,False,UncategorizedText,The text block appears to be a random sequence of letters and does not convey a clear meaning.,,
67,Table,fc93745836bfdc84a55fd9430bee2fac,Closed Book T5-11B [52] 34.5 T5-11B+SSM[52] 36.6 - - /50.1 37.4 /60.5 44.7 - - Model B-1 Label Acc. Open Book REALM [20] DPR [26] 40.4 / 41.5 57.9/ - - - 40.7 46.8 41.1 50.6 SotA BART - - 15.1 19.7 49.8* 49.9* 38.2 41.6 76.8 64.0 81.1 RAG-Token RAG-Seq. 44.1 55.2/66.1 45.5 50.0 44.5 56.8/68.0 45.2 52.2 RAG-Tok. 17.3 22.2 RAG-Seq. 14.7 21.4 40.1 40.8 41.5 44.2 72.5 89.5,"((308.11322021484375, 368.03558349609375), (308.11322021484375, 590.8518676757812), (1381.2183837890625, 590.8518676757812), (1381.2183837890625, 368.03558349609375))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8115674257278442,37e262b8bdf1d9706cc4e259763278b6,./images/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/table-6-1.jpg,Jeopardy MSMARCO FVR3 FVR2 B-1 QB-1 R-L,True,Table,,"<table>
<thead>
<tr>
<th>Model</th>
<th>NQ</th>
<th>TQA</th>
<th>WQ</th>
<th>CT</th>
<th>Model</th>
<th>Jeopardy<br>B-1 QB-1</th>
<th>MSMARCO<br>R-L B-1</th>
<th>FVR3<br>Label</th>
<th>FVR2<br>Acc.</th>
</tr>
</thead>
<tbody>
<tr>
<td rowspan=2>Closed<br>Book</td>
<td>T5-11B <span style=""color:green"">[52]</span></td>
<td>34.5</td>
<td>- /50.1</td>
<td>37.4</td>
<td>-</td>
<td rowspan=2>SotA</td>
<td rowspan=2>- -</td>
<td rowspan=2>49.8* 49.9*</td>
<td rowspan=2>76.8</td>
<td rowspan=2>92.2*</td>
</tr>
<tr>
<td>T5-11B+SSM <span style=""color:green"">[52]</span></td>
<td>36.6</td>
<td>- /60.5</td>
<td>44.7</td>
<td>-</td>
</tr>
<tr>
<td rowspan=2>Open<br>Book</td>
<td>REALM <span style=""color:green"">[20]</span></td>
<td>40.4</td>
<td>- / -</td>
<td>40.7</td>
<td>46.8</td>
<td rowspan=2>BART</td>
<td rowspan=2>15.1 19.7</td>
<td rowspan=2>38.2 41.6</td>
<td rowspan=2>64.0</td>
<td rowspan=2>81.1</td>
</tr>
<tr>
<td>DPR <span style=""color:green"">[26]</span></td>
<td>41.5</td>
<td>57.9/ -</td>
<td>41.1</td>
<td>50.6</td>
</tr>
<tr>
<td>RAG-Token</td>
<td>44.1</td>
<td>55.2/66.1</td>
<td><ins>45.5</ins></td>
<td>50.0</td>
<td>RAG-Tok.</td>
<td>17.3 22.2</td>
<td>40.1 41.5</td>
<td>72.5</td>
<td>89.5</td>
</tr>
<tr>
<td>RAG-Seq.</td>
<td><ins>44.5</ins></td>
<td>56.8/68.0</td>
<td>45.2</td>
<td><ins>52.2</ins></td>
<td>RAG-Seq.</td>
<td>14.7 21.4</td>
<td><ins>40.8</ins> <ins>44.2</ins></td>
<td></td>
<td></td>
</tr>
</tbody>
</table>",
68,Title,f44d1cf8fef8b2ff5b80dae5c516be55,Jeopardy MSMARCO FVR3 FVR2 B-1 QB-1 R-L,"((992.9372099444445, 386.2354078290224), (992.9372099444445, 436.33099579568926), (1386.154556709111, 436.33099579568926), (1386.154556709111, 386.2354078290224))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,,92.2*,False,UncategorizedText,The text appears to be a sequence of unrelated terms or abbreviations without a clear meaning or context.,,
69,UncategorizedText,cfaaf16b077044b13132b0bc585bc22c,92.2*,"((1330.4555505220442, 452.577934722089), (1330.4555505220442, 476.47437179568925), (1383.8407441777777, 476.47437179568925), (1383.8407441777777, 452.577934722089))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,f44d1cf8fef8b2ff5b80dae5c516be55,,"to more effective marginalization over documents. Furthermore, RAG can generate correct answers even when the correct answer is not in any retrieved document, achieving 11.8% accuracy in such cases for NQ, where an extractive model would score 0%.",False,UncategorizedText,"The text block contains only ""92.2*"", which lacks context and clear meaning.",,
70,NarrativeText,6e33d105bf50cfc2d7df3c3817dc125e,"to more effective marginalization over documents. Furthermore, RAG can generate correct answers even when the correct answer is not in any retrieved document, achieving 11.8% accuracy in such cases for NQ, where an extractive model would score 0%.","((295.8925476074219, 654.8008933333332), (295.8925476074219, 743.0831155555555), (1404.2330322265625, 743.0831155555555), (1404.2330322265625, 654.8008933333332))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.837108850479126,f44d1cf8fef8b2ff5b80dae5c516be55,,4.2 Abstractive Question Answering,True,NarrativeText,"This block discusses the effectiveness of Retrieval-Augmented Generation (RAG) in achieving accurate answers in question answering tasks, even when the answer is not explicitly present in the retrieved documents.",,
71,Title,58c76b08a3a9cc6baef5d0322b1b2d51,4.2 Abstractive Question Answering,"((297.6317138671875, 782.6905094444443), (297.6317138671875, 810.3643983333332), (750.0015258789062, 810.3643983333332), (750.0015258789062, 782.6905094444443))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8687173128128052,,,"As shown in Table 2, RAG-Sequence outperforms BART on Open MS-MARCO NLG by 2.6 Bleu points and 2.6 Rouge-L points. RAG approaches state-of-the-art model performance, which is impressive given that (i) those models access gold passages with speciﬁc information required to generate the reference answer , (ii) many questions are unanswerable without the gold passages, and (iii) not all questions are answerable from Wikipedia alone. Table 3 shows some generated answers from our models. Qualitatively, we ﬁnd that RAG models hallucinate less and generate factually correct text more often than BART. Later, we also show that RAG generations are more diverse than BART generations (see §4.5).",True,Title,A section title likely introducing a discussion on Abstractive Question Answering.,,
72,NarrativeText,7309e3f1e5ca99396e2b782b743471ed,"As shown in Table 2, RAG-Sequence outperforms BART on Open MS-MARCO NLG by 2.6 Bleu points and 2.6 Rouge-L points. RAG approaches state-of-the-art model performance, which is impressive given that (i) those models access gold passages with speciﬁc information required to generate the reference answer , (ii) many questions are unanswerable without the gold passages, and (iii) not all questions are answerable from Wikipedia alone. Table 3 shows some generated answers from our models. Qualitatively, we ﬁnd that RAG models hallucinate less and generate factually correct text more often than BART. Later, we also show that RAG generations are more diverse than BART generations (see §4.5).","((299.0027777777778, 838.3703377777778), (299.0027777777778, 1078.1664488888887), (1407.37255859375, 1078.1664488888887), (1407.37255859375, 838.3703377777778))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9517192840576172,58c76b08a3a9cc6baef5d0322b1b2d51,,Jeopardy Question Generation,True,NarrativeText,"This block discusses the performance of the RAG-Sequence model compared to BART on a specific task. It highlights the strengths of RAG-Sequence, such as its ability to generate more factually correct and diverse text while hallucinating less than BART.",,
73,Title,e40ab7d69d01e1098a2d6904a1236214,Jeopardy Question Generation,"((299.3175354003906, 1117.6370849609375), (299.3175354003906, 1145.4477316666666), (729.5635986328125, 1145.4477316666666), (729.5635986328125, 1117.6370849609375))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8693440556526184,,,"Table 2 shows that RAG-Token performs better than RAG-Sequence on Jeopardy question generation, with both models outperforming BART on Q-BLEU-1. 4 shows human evaluation results, over 452 pairs of generations from BART and RAG-Token. Evaluators indicated that BART was more factual than RAG in only 7.1% of cases, while RAG was more factual in 42.7% of cases, and both RAG and BART were factual in a further 17% of cases, clearly demonstrating the effectiveness of RAG on the task over a state-of-the-art generation model. Evaluators also ﬁnd RAG generations to be more speciﬁc by a large margin. Table 3 shows typical generations from each model.",True,Title,This text block is likely a section title related to question generation within the document.,,
74,NarrativeText,a72e6d4104f0839dd921f47b8baafa53,"Table 2 shows that RAG-Token performs better than RAG-Sequence on Jeopardy question generation, with both models outperforming BART on Q-BLEU-1. 4 shows human evaluation results, over 452 pairs of generations from BART and RAG-Token. Evaluators indicated that BART was more factual than RAG in only 7.1% of cases, while RAG was more factual in 42.7% of cases, and both RAG and BART were factual in a further 17% of cases, clearly demonstrating the effectiveness of RAG on the task over a state-of-the-art generation model. Evaluators also ﬁnd RAG generations to be more speciﬁc by a large margin. Table 3 shows typical generations from each model.","((299.0027777777778, 1173.4536711111111), (299.0027777777778, 1382.9470044444442), (1410.11083984375, 1382.9470044444442), (1410.11083984375, 1173.4536711111111))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9473232626914978,e40ab7d69d01e1098a2d6904a1236214,,"Jeopardy questions often contain two separate pieces of information, and RAG-Token may perform best because it can generate responses that combine content from several documents. Figure 2 shows an example. When generating “Sun”, the posterior is high for document 2 which mentions “The Sun Also Rises”. Similarly, document 1 dominates the posterior when “A Farewell to Arms” is generated. Intriguingly, after the ﬁrst token of each book is generated, the document posterior ﬂattens. This observation suggests that the generator can complete the titles without depending on speciﬁc documents. In other words, the model’s parametric knowledge is sufﬁcient to complete the titles. We ﬁnd evidence for this hypothesis by feeding the BART-only baseline with the partial decoding ""The Sun. BART completes the generation ""The Sun Also Rises"" is a novel by this author of ""The Sun Also Rises"" indicating the title ""The Sun Also Rises"" is stored in BART’s parameters. Similarly, BART will complete the partial decoding ""The Sun Also Rises"" is a novel by this author of ""A with ""The Sun Also Rises"" is a novel by this author of ""A Farewell to Arms"". This example shows how parametric and non-parametric memories work together—the non-parametric component helps to guide the generation, drawing out speciﬁc knowledge stored in the parametric memory.",True,NarrativeText,This paragraph discusses the performance comparison between RAG-Token and other models like RAG-Sequence and BART on Jeopardy question generation. It highlights RAG-Token's effectiveness in combining content from multiple documents and its superior performance in factuality and specificity based on human evaluation and examples.,,
75,NarrativeText,5bb55248d6e17830bf32ecc5966b28f6,"Jeopardy questions often contain two separate pieces of information, and RAG-Token may perform best because it can generate responses that combine content from several documents. Figure 2 shows an example. When generating “Sun”, the posterior is high for document 2 which mentions “The Sun Also Rises”. Similarly, document 1 dominates the posterior when “A Farewell to Arms” is generated. Intriguingly, after the ﬁrst token of each book is generated, the document posterior ﬂattens. This observation suggests that the generator can complete the titles without depending on speciﬁc documents. In other words, the model’s parametric knowledge is sufﬁcient to complete the titles. We ﬁnd evidence for this hypothesis by feeding the BART-only baseline with the partial decoding ""The Sun. BART completes the generation ""The Sun Also Rises"" is a novel by this author of ""The Sun Also Rises"" indicating the title ""The Sun Also Rises"" is stored in BART’s parameters. Similarly, BART will complete the partial decoding ""The Sun Also Rises"" is a novel by this author of ""A with ""The Sun Also Rises"" is a novel by this author of ""A Farewell to Arms"". This example shows how parametric and non-parametric memories work together—the non-parametric component helps to guide the generation, drawing out speciﬁc knowledge stored in the parametric memory.","((299.0027777777778, 1400.7953377777776), (299.0027777777778, 1822.4081155555555), (1407.6715087890625, 1822.4081155555555), (1407.6715087890625, 1400.7953377777776))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9471367597579956,e40ab7d69d01e1098a2d6904a1236214,,4.4 Fact Veriﬁcation,True,NarrativeText,"This paragraph analyzes how a retrieval-augmented generation model utilizes both parametric and non-parametric memory to answer Jeopardy questions. It specifically examines the model's ability to complete book titles, suggesting that the model leverages its internal knowledge in conjunction with retrieved information.",,
76,Title,0ce35442b011e926034f4a17087165d7,4.4 Fact Veriﬁcation,"((299.0622863769531, 1862.0182872222222), (299.0622863769531, 1889.692176111111), (561.35205078125, 1889.692176111111), (561.35205078125, 1862.0182872222222))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8581591844558716,,,"Table 2 shows our results on FEVER. For 3-way classiﬁcation, RAG scores are within 4.3% of state-of-the-art models, which are complex pipeline systems with domain-speciﬁc architectures and substantial engineering, trained using intermediate retrieval supervision, which RAG does not require.",True,Title,A section title likely followed by content about fact verification.,,
77,NarrativeText,dbdcb5302c7d929ea86a1dbaee0476c4,"Table 2 shows our results on FEVER. For 3-way classiﬁcation, RAG scores are within 4.3% of state-of-the-art models, which are complex pipeline systems with domain-speciﬁc architectures and substantial engineering, trained using intermediate retrieval supervision, which RAG does not require.","((296.4414978027344, 1917.6981155555554), (296.4414978027344, 2005.97756), (1410.7568359375, 2005.97756), (1410.7568359375, 1917.6981155555554))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9394749999046326,0ce35442b011e926034f4a17087165d7,,6,True,NarrativeText,"This block discusses the performance of the RAG model on the FEVER dataset, highlighting its competitiveness to state-of-the-art models despite its simpler architecture and lack of intermediate retrieval supervision.",,
78,UncategorizedText,b57a2da14e9f50248f6ac41517d7cfd2,6,"((843.0805555555555, 2061.325893333333), (843.0805555555555, 2088.999782222222), (856.9174999999999, 2088.999782222222), (856.9174999999999, 2061.325893333333))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],6,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,0ce35442b011e926034f4a17087165d7,,"Document 1: his works are considered classics of American Doc1 [ ] | literature ... His wartime experiences formed the basis for hisnovel .o . A Farewell to Arms” (1929) ... Doc3 Document 2: ... artists of the 1920s “Lost Generation” expatriate Pocd community. His debut novel, “The Sun Also Rises”, was published ¢ in1926. Doc5 Q,O(”‘ * &g%\,e QV,,OQ- & t e »\\C@@ & f\sc\ * vd&f\\ovﬁ&“",False,UncategorizedText,"The text block consists only of the number '6', which lacks context and meaning on its own.",,
79,Image,944a8b5e15e363827924bb2a2357d4dd,"Document 1: his works are considered classics of American Doc1 [ ] | literature ... His wartime experiences formed the basis for hisnovel .o . A Farewell to Arms” (1929) ... Doc3 Document 2: ... artists of the 1920s “Lost Generation” expatriate Pocd community. His debut novel, “The Sun Also Rises”, was published ¢ in1926. Doc5 Q,O(”‘ * &g%\,e QV,,OQ- & t e »\\C@@ & f\sc\ * vd&f\\ovﬁ&“","((306.7382507324219, 205.90560913085938), (306.7382507324219, 376.34130859375), (1392.760009765625, 376.34130859375), (1392.760009765625, 205.90560913085938))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],7,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.7556876540184021,,./images/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/figure-7-2.jpg,[ ] | .,True,Image,,,"The image contains two pieces of text and a heatmap. 

The first piece of text reads: ""**Document 1:** his works are considered classics of American literature... His wartime experiences formed the basis for his novel 'A Farewell to Arms' (1929) ...""

The second piece of text reads: ""**Document 2:** ... artists of the 1920s ""Lost Generation"" expatriate community. His debut novel, ""The Sun Also Rises"", was published in 1926.""

The heatmap shows the correlation between the words in each document. The darker the color, the stronger the correlation.  The words ""The"", ""Sun"" and ""Also"" are highly correlated with Document 2, while ""A"", ""Farewell"" and ""Arms"" are highly correlated with Document 1.  This suggests that the heatmap is visualizing which words are most unique to each document. 
"
80,Image,a05f36f7225b00cff5dc813d802bb729,[ ] | .,"((860.7219087166667, 207.0827171388888), (860.7219087166667, 328.25355047222206), (1389.02674205, 328.25355047222206), (1389.02674205, 207.0827171388888))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],7,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,,,./images/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf/figure-7-3.jpg,"Figure 2: RAG-Token document posterior p(zi|x, yi, y−i) for each generated token for input “Hem- ingway"" for Jeopardy generation with 5 retrieved documents. The posterior for document 1 is high when generating “A Farewell to Arms"" and for document 2 when generating “The Sun Also Rises"".",True,Image,,,"The image is an abstract composition of blurry blue squares on a white background. Two darker blue squares stand out: one on the top right side and a smaller one on the left third of the image. The overall impression is one of light and airy coolness. 
"
81,NarrativeText,27b24fa17f19b96c0b1d7988c7cbda7a,"Figure 2: RAG-Token document posterior p(zi|x, yi, y−i) for each generated token for input “Hem- ingway"" for Jeopardy generation with 5 retrieved documents. The posterior for document 1 is high when generating “A Farewell to Arms"" and for document 2 when generating “The Sun Also Rises"".","((298.70782470703125, 388.43095666666665), (298.70782470703125, 477.3220044444444), (1405.38525390625, 477.3220044444444), (1405.38525390625, 388.43095666666665))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],7,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.8331102132797241,,,"Table 3: Examples from generation tasks. RAG models generate more speciﬁc and factually accurate responses. ‘?’ indicates factually incorrect responses, * indicates partially correct responses.",True,FigureCaption,"Description of Figure 2, which shows the document posterior probability for each generated token for a Jeopardy generation task using RAG with 5 retrieved documents.",,
82,NarrativeText,677e0e49b8f042eef5660e49e46088e1,"Table 3: Examples from generation tasks. RAG models generate more speciﬁc and factually accurate responses. ‘?’ indicates factually incorrect responses, * indicates partially correct responses.","((297.888671875, 534.3592266666665), (297.888671875, 592.3386711111112), (1403.4249267578125, 592.3386711111112), (1403.4249267578125, 534.3592266666665))",PixelSpace,1700,2200,2024-08-18T17:06:27,application/pdf,['eng'],7,../papers,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,0.9342449307441713,,,"Task Input Model Generation MS- MARCO deﬁne middle ear what currency needed in scotland BART ?The middle ear is the part of the ear between the middle ear and the nose. RAG-T The middle ear is the portion of the ear internal to the eardrum. RAG-S The middle ear includes the tympanic cavity and the three ossicles. BART The currency needed in Scotland is Pound sterling. RAG-T Pound is the currency needed in Scotland. RAG-S The currency needed in Scotland is the pound sterling. Jeopardy Question Gener -ation Washington The Divine Comedy BART ?This state has the largest number of counties in the U.S. RAG-T It’s the only U.S. state named for a U.S. president RAG-S It’s the state where you’ll ﬁnd Mount Rainier National Park BART *This epic poem by Dante is divided into 3 parts: the Inferno, the Purgatorio & the Purgatorio RAG-T Dante’s ""Inferno"" is the ﬁrst part of this epic poem RAG-S This 14th century work is divided into 3 sections: ""Inferno"", ""Purgatorio"" & ""Paradiso""",True,FigureCaption,A caption for a table that provides examples of how RAG models generate more specific and factually accurate responses in generation tasks.,,
