,block_type,text,file_type,languages,page_number,filename,description,authors,research_lab,publication_year,title,section_title
48,NarrativeText,"Open-domain question answering (QA) is an important real-world application and common testbed for knowledge-intensive tasks [20]. We treat questions and answers as input-output text pairs (x, y) and train RAG by directly minimizing the negative log-likelihood of answers. We compare RAG to the popular extractive QA paradigm [5, 7, 31, 26], where answers are extracted spans from retrieved documents, relying primarily on non-parametric knowledge. We also compare to “Closed-Book QA” approaches [52], which, like RAG, generate answers, but which do not exploit retrieval, instead relying purely on parametric knowledge. We consider four popular open-domain QA datasets: Natural Questions (NQ) [29], TriviaQA (TQA) [24]. WebQuestions (WQ) [3] and CuratedTrec (CT) [2]. As CT and WQ are small, we follow DPR [26] by initializing CT and WQ models with our NQ RAG model. We use the same train/dev/test splits as prior work [31, 26] and report Exact Match (EM) scores. For TQA, to compare with T5 [52], we also evaluate on the TQA Wiki test set.",application/pdf,['eng'],4,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This paragraph describes open-domain question answering (QA) as a testbed for knowledge-intensive tasks. It explains the methodology of RAG (Retrieval-Augmented Generation) and compares it to other approaches like extractive QA and Closed-Book QA. The paragraph also lists datasets used (NQ, TriviaQA, WebQuestions, CuratedTrec), evaluation metrics (Exact Match scores), and model initialization details for specific datasets.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,3.1 Open-domain Question Answering
50,NarrativeText,"RAG models can go beyond simple extractive QA and answer questions with free-form, abstractive text generation. To test RAG’s natural language generation (NLG) in a knowledge-intensive setting, we use the MSMARCO NLG task v2.1 [43]. The task consists of questions, ten gold passages retrieved from a search engine for each question, and a full sentence answer annotated from the retrieved passages. We do not use the supplied passages, only the questions and answers, to treat",application/pdf,['eng'],4,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,This text describes how RAG models can generate abstractive text and mentions the MSMARCO NLG task for evaluating this capability in a knowledge-intensive context.,"Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,3.2 Abstractive Question Answering
52,NarrativeText,"MSMARCO as an open-domain abstractive QA task. MSMARCO has some questions that cannot be answered in a way that matches the reference answer without access to the gold passages, such as “What is the weather in Volcano, CA?” so performance will be lower without using gold passages. We also note that some MSMARCO questions cannot be answered using Wikipedia alone. Here, RAG can rely on parametric knowledge to generate reasonable responses.",application/pdf,['eng'],5,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This block discusses the limitations of the MSMARCO dataset for open-domain question answering, highlighting scenarios where external knowledge sources or parametric knowledge are necessary for generating accurate answers.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,3.2 Abstractive Question Answering
54,NarrativeText,"To evaluate RAG’s generation abilities in a non-QA setting, we study open-domain question gen- eration. Rather than use questions from standard open-domain QA tasks, which typically consist of short, simple questions, we propose the more demanding task of generating Jeopardy questions. Jeopardy is an unusual format that consists of trying to guess an entity from a fact about that entity. For example, “The World Cup” is the answer to the question “In 1986 Mexico scored as the ﬁrst country to host this international sports competition twice.” As Jeopardy questions are precise, factual statements, generating Jeopardy questions conditioned on their answer entities constitutes a challenging knowledge-intensive generation task.",application/pdf,['eng'],5,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This paragraph describes the authors' approach to evaluating a Retrieval-Augmented Generation (RAG) model's ability to generate open-domain questions, specifically in the format of Jeopardy questions. It highlights the challenges of this task and mentions the use of the SearchQA dataset and the Q-BLEU-1 metric for evaluation.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Jeopardy Question Generation
55,NarrativeText,"We use the splits from SearchQA [10], with 100K train, 14K dev, and 27K test examples. As this is a new task, we train a BART model for comparison. Following [67], we evaluate using the SQuAD-tuned Q-BLEU-1 metric [42]. Q-BLEU is a variant of BLEU with a higher weight for matching entities and has higher correlation with human judgment for question generation than standard metrics. We also perform two human evaluations, one to assess generation factuality, and one for speciﬁcity. We deﬁne factuality as whether a statement can be corroborated by trusted external sources, and speciﬁcity as high mutual dependence between the input and output [33]. We follow best practice and use pairwise comparative evaluation [34]. Evaluators are shown an answer and two generated questions, one from BART and one from RAG. They are then asked to pick one of four options—quuestion A is better, question B is better, both are good, or neither is good.",application/pdf,['eng'],5,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"Describes the evaluation methodology used to assess the model's performance on a question generation task, including dataset splits, evaluation metrics (Q-BLEU-1), and human evaluation criteria (factuality and specificity).","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Jeopardy Question Generation
57,NarrativeText,"FEVER [56] requires classifying whether a natural language claim is supported or refuted by Wikipedia, or whether there is not enough information to decide. The task requires retrieving evidence from Wikipedia relating to the claim and then reasoning over this evidence to classify whether the claim is true, false, or unveriﬁable from Wikipedia alone. FEVER is a retrieval problem coupled with an challenging entailment reasoning task. It also provides an appropriate testbed for exploring the RAG models’ ability to handle classiﬁcation rather than generation. We map FEVER class labels (supports, refutes, or not enough info) to single output tokens and directly train with claim-class pairs. Crucially, unlike most other approaches to FEVER, we do not use supervision on retrieved evidence. In many real-world applications, retrieval supervision signals aren’t available, and models that do not require such supervision will be applicable to a wider range of tasks. We explore two variants: the standard 3-way classiﬁcation task (supports/refutes/not enough info) and the 2-way (supports/refutes) task studied in Thorne and Vlachos [57]. In both cases we report label accuracy.",application/pdf,['eng'],5,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This paragraph describes the FEVER dataset and task, which involves classifying claims based on Wikipedia evidence, and how RAG models are applied to this task without using retrieval supervision.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,3.4 Fact Veriﬁcation
60,NarrativeText,"Table 1 shows results for RAG along with state-of-the-art models. On all four open-domain QA tasks, RAG sets a new state of the art (only on the T5-comparable split for TQA). RAG combines the generation ﬂexibility of the “closed-book” (parametric only) approaches and the performance of ""open-book"" retrieval-based approaches. Unlike REALM and T5+SSM, RAG enjoys strong results without expensive, specialized “salient span masking” pre-training [20]. It is worth noting that RAG’s retriever is initialized using DPR’s retriever, which uses retrieval supervision on Natural Questions and TriviaQA. RAG compares favourably to the DPR QA system, which uses a BERT-based “cross- encoder” to re-rank documents, along with an extractive reader. RAG demonstrates that neither a re-ranker nor extractive reader is necessary for state-of-the-art performance.",application/pdf,['eng'],5,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This paragraph discusses the performance of the RAG model on open-domain question answering tasks, comparing it to other state-of-the-art models. It highlights RAG's advantages, such as its flexibility and strong results without needing specialized pre-training or components like re-rankers or extractive readers.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.1 Open-domain Question Answering
61,NarrativeText,"There are several advantages to generating answers even when it is possible to extract them. Docu- ments with clues about the answer but do not contain the answer verbatim can still contribute towards a correct answer being generated, which is not possible with standard extractive approaches, leading",application/pdf,['eng'],5,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This block discusses the advantages of generative approaches over extractive approaches in answering questions, particularly highlighting the ability to handle documents that contain clues about the answer without explicitly stating it.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.1 Open-domain Question Answering
63,FigureCaption,"Table 1: Open-Domain QA Test Scores. For TQA, left column uses the standard test set for Open- Domain QA, right column uses the TQA-Wiki test set. See Appendix D for further details. Table 2: Generation and classiﬁcation Test Scores. MS-MARCO SotA is [4], FEVER-3 is [68] and FEVER-2 is [57] *Uses gold context/evidence. Best model without gold access underlined.",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,Provides a description of the test scores for open-domain QA in Table 1 and generation and classification scores in Table 2.,"Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.1 Open-domain Question Answering
67,Table,"<table>
<thead>
<tr>
<th>Model</th>
<th>NQ</th>
<th>TQA</th>
<th>WQ</th>
<th>CT</th>
<th>Model</th>
<th>Jeopardy<br>B-1 QB-1</th>
<th>MSMARCO<br>R-L B-1</th>
<th>FVR3<br>Label</th>
<th>FVR2<br>Acc.</th>
</tr>
</thead>
<tbody>
<tr>
<td rowspan=2>Closed<br>Book</td>
<td>T5-11B <span style=""color:green"">[52]</span></td>
<td>34.5</td>
<td>- /50.1</td>
<td>37.4</td>
<td>-</td>
<td rowspan=2>SotA</td>
<td rowspan=2>- -</td>
<td rowspan=2>49.8* 49.9*</td>
<td rowspan=2>76.8</td>
<td rowspan=2>92.2*</td>
</tr>
<tr>
<td>T5-11B+SSM <span style=""color:green"">[52]</span></td>
<td>36.6</td>
<td>- /60.5</td>
<td>44.7</td>
<td>-</td>
</tr>
<tr>
<td rowspan=2>Open<br>Book</td>
<td>REALM <span style=""color:green"">[20]</span></td>
<td>40.4</td>
<td>- / -</td>
<td>40.7</td>
<td>46.8</td>
<td rowspan=2>BART</td>
<td rowspan=2>15.1 19.7</td>
<td rowspan=2>38.2 41.6</td>
<td rowspan=2>64.0</td>
<td rowspan=2>81.1</td>
</tr>
<tr>
<td>DPR <span style=""color:green"">[26]</span></td>
<td>41.5</td>
<td>57.9/ -</td>
<td>41.1</td>
<td>50.6</td>
</tr>
<tr>
<td>RAG-Token</td>
<td>44.1</td>
<td>55.2/66.1</td>
<td><ins>45.5</ins></td>
<td>50.0</td>
<td>RAG-Tok.</td>
<td>17.3 22.2</td>
<td>40.1 41.5</td>
<td>72.5</td>
<td>89.5</td>
</tr>
<tr>
<td>RAG-Seq.</td>
<td><ins>44.5</ins></td>
<td>56.8/68.0</td>
<td>45.2</td>
<td><ins>52.2</ins></td>
<td>RAG-Seq.</td>
<td>14.7 21.4</td>
<td><ins>40.8</ins> <ins>44.2</ins></td>
<td></td>
<td></td>
</tr>
</tbody>
</table>",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"Table 1: Open-Domain QA Test Scores. For TQA, left column uses the standard test set for Open- Domain QA, right column uses the TQA-Wiki test set. See Appendix D for further details. Table 2: Generation and classiﬁcation Test Scores. MS-MARCO SotA is [4], FEVER-3 is [68] and FEVER-2 is [57] *Uses gold context/evidence. Best model without gold access underlined.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.1 Open-domain Question Answering
70,NarrativeText,"to more effective marginalization over documents. Furthermore, RAG can generate correct answers even when the correct answer is not in any retrieved document, achieving 11.8% accuracy in such cases for NQ, where an extractive model would score 0%.",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This block discusses the effectiveness of Retrieval-Augmented Generation (RAG) in achieving accurate answers in question answering tasks, even when the answer is not explicitly present in the retrieved documents.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.1 Open-domain Question Answering
72,NarrativeText,"As shown in Table 2, RAG-Sequence outperforms BART on Open MS-MARCO NLG by 2.6 Bleu points and 2.6 Rouge-L points. RAG approaches state-of-the-art model performance, which is impressive given that (i) those models access gold passages with speciﬁc information required to generate the reference answer , (ii) many questions are unanswerable without the gold passages, and (iii) not all questions are answerable from Wikipedia alone. Table 3 shows some generated answers from our models. Qualitatively, we ﬁnd that RAG models hallucinate less and generate factually correct text more often than BART. Later, we also show that RAG generations are more diverse than BART generations (see §4.5).",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This block discusses the performance of the RAG-Sequence model compared to BART on a specific task. It highlights the strengths of RAG-Sequence, such as its ability to generate more factually correct and diverse text while hallucinating less than BART.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.2 Abstractive Question Answering
74,NarrativeText,"Table 2 shows that RAG-Token performs better than RAG-Sequence on Jeopardy question generation, with both models outperforming BART on Q-BLEU-1. 4 shows human evaluation results, over 452 pairs of generations from BART and RAG-Token. Evaluators indicated that BART was more factual than RAG in only 7.1% of cases, while RAG was more factual in 42.7% of cases, and both RAG and BART were factual in a further 17% of cases, clearly demonstrating the effectiveness of RAG on the task over a state-of-the-art generation model. Evaluators also ﬁnd RAG generations to be more speciﬁc by a large margin. Table 3 shows typical generations from each model.",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,This paragraph discusses the performance comparison between RAG-Token and other models like RAG-Sequence and BART on Jeopardy question generation. It highlights RAG-Token's effectiveness in combining content from multiple documents and its superior performance in factuality and specificity based on human evaluation and examples.,"Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Jeopardy Question Generation
75,NarrativeText,"Jeopardy questions often contain two separate pieces of information, and RAG-Token may perform best because it can generate responses that combine content from several documents. Figure 2 shows an example. When generating “Sun”, the posterior is high for document 2 which mentions “The Sun Also Rises”. Similarly, document 1 dominates the posterior when “A Farewell to Arms” is generated. Intriguingly, after the ﬁrst token of each book is generated, the document posterior ﬂattens. This observation suggests that the generator can complete the titles without depending on speciﬁc documents. In other words, the model’s parametric knowledge is sufﬁcient to complete the titles. We ﬁnd evidence for this hypothesis by feeding the BART-only baseline with the partial decoding ""The Sun. BART completes the generation ""The Sun Also Rises"" is a novel by this author of ""The Sun Also Rises"" indicating the title ""The Sun Also Rises"" is stored in BART’s parameters. Similarly, BART will complete the partial decoding ""The Sun Also Rises"" is a novel by this author of ""A with ""The Sun Also Rises"" is a novel by this author of ""A Farewell to Arms"". This example shows how parametric and non-parametric memories work together—the non-parametric component helps to guide the generation, drawing out speciﬁc knowledge stored in the parametric memory.",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This paragraph analyzes how a retrieval-augmented generation model utilizes both parametric and non-parametric memory to answer Jeopardy questions. It specifically examines the model's ability to complete book titles, suggesting that the model leverages its internal knowledge in conjunction with retrieved information.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Jeopardy Question Generation
77,NarrativeText,"Table 2 shows our results on FEVER. For 3-way classiﬁcation, RAG scores are within 4.3% of state-of-the-art models, which are complex pipeline systems with domain-speciﬁc architectures and substantial engineering, trained using intermediate retrieval supervision, which RAG does not require.",application/pdf,['eng'],6,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This block discusses the performance of the RAG model on the FEVER dataset, highlighting its competitiveness to state-of-the-art models despite its simpler architecture and lack of intermediate retrieval supervision.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.4 Fact Veriﬁcation
79,Image,"The image contains two pieces of text and a heatmap. 

The first piece of text reads: ""**Document 1:** his works are considered classics of American literature... His wartime experiences formed the basis for his novel 'A Farewell to Arms' (1929) ...""

The second piece of text reads: ""**Document 2:** ... artists of the 1920s ""Lost Generation"" expatriate community. His debut novel, ""The Sun Also Rises"", was published in 1926.""

The heatmap shows the correlation between the words in each document. The darker the color, the stronger the correlation.  The words ""The"", ""Sun"" and ""Also"" are highly correlated with Document 2, while ""A"", ""Farewell"" and ""Arms"" are highly correlated with Document 1.  This suggests that the heatmap is visualizing which words are most unique to each document. 
",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"The image is an abstract composition of blurry blue squares on a white background. Two darker blue squares stand out: one on the top right side and a smaller one on the left third of the image. The overall impression is one of light and airy coolness. 
","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.4 Fact Veriﬁcation
80,Image,"The image is an abstract composition of blurry blue squares on a white background. Two darker blue squares stand out: one on the top right side and a smaller one on the left third of the image. The overall impression is one of light and airy coolness. 
",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"Figure 2: RAG-Token document posterior p(zi|x, yi, y−i) for each generated token for input “Hem- ingway"" for Jeopardy generation with 5 retrieved documents. The posterior for document 1 is high when generating “A Farewell to Arms"" and for document 2 when generating “The Sun Also Rises"".","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.4 Fact Veriﬁcation
81,FigureCaption,"Figure 2: RAG-Token document posterior p(zi|x, yi, y−i) for each generated token for input “Hem- ingway"" for Jeopardy generation with 5 retrieved documents. The posterior for document 1 is high when generating “A Farewell to Arms"" and for document 2 when generating “The Sun Also Rises"".",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"Description of Figure 2, which shows the document posterior probability for each generated token for a Jeopardy generation task using RAG with 5 retrieved documents.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.4 Fact Veriﬁcation
82,FigureCaption,"Table 3: Examples from generation tasks. RAG models generate more speciﬁc and factually accurate responses. ‘?’ indicates factually incorrect responses, * indicates partially correct responses.",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,A caption for a table that provides examples of how RAG models generate more specific and factually accurate responses in generation tasks.,"Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.4 Fact Veriﬁcation
83,Table,"| Task | Input | Model | Generation | 
|---|---|---|---| 
| MS-MARCO | define middle ear | BART | ?The middle ear is the part of the ear between the middle ear and the nose. |
|  |  | RAG-T | The middle ear is the portion of the ear internal to the eardrum. | 
|  |  | RAG-S | The middle ear includes the tympanic cavity and the three ossicles. |
| MS-MARCO | what currency needed in scotland | BART | The currency needed in Scotland is Pound sterling. | 
|  |  | RAG-T | Pound is the currency needed in Scotland. |
|  |  | RAG-S | The currency needed in Scotland is the pound sterling. |
| Jeopardy Question | Washington | BART | ?This state has the largest number of counties in the U.S. |
|  |  | RAG-T | It's the only U.S. state named for a U.S. president |
|  |  | RAG-S | It's the state where you'll find Mount Rainier National Park | 
| Generation | The Divine Comedy | BART | *This epic poem by Dante is divided into 3 parts: the Inferno, the Purgatorio & the Purgatorio |
|  |  | RAG-T | Dante's ""Inferno"" is the first part of this epic poem |
|  |  | RAG-S | This 14th century work is divided into 3 sections: ""Inferno"", ""Purgatorio"" & ""Paradiso"" | 
",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"Table 3: Examples from generation tasks. RAG models generate more speciﬁc and factually accurate responses. ‘?’ indicates factually incorrect responses, * indicates partially correct responses.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.4 Fact Veriﬁcation
84,NarrativeText,"For 2-way classiﬁcation, we compare against Thorne and Vlachos [57], who train RoBERTa [35] to classify the claim as true or false given the gold evidence sentence. RAG achieves an accuracy within 2.7% of this model, despite being supplied with only the claim and retrieving its own evidence. We also analyze whether documents retrieved by RAG correspond to documents annotated as gold evidence in FEVER. We calculate the overlap in article titles between the top k documents retrieved by RAG and gold evidence annotations. We ﬁnd that the top retrieved document is from a gold article in 71% of cases, and a gold article is present in the top 10 retrieved articles in 90% of cases.",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This block discusses the performance of the RAG model on a 2-way classification task, comparing its accuracy to a RoBERTa-based model. It also analyzes the overlap between documents retrieved by RAG and gold evidence annotations in the FEVER dataset.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.4 Fact Veriﬁcation
86,NarrativeText,"Generation Diversity Section 4.3 shows that RAG models are more factual and speciﬁc than BART for Jeopardy question generation. Following recent work on diversity-promoting decoding [33, 59, 39], we also investigate generation diversity by calculating the ratio of distinct ngrams to total ngrams generated by different models. Table 5 shows that RAG-Sequence’s generations are more diverse than RAG-Token’s, and both are signiﬁcantly more diverse than BART without needing any diversity-promoting decoding.",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This paragraph discusses the diversity of generations from RAG models compared to BART, particularly in the context of Jeopardy question generation. It highlights that RAG models produce more diverse and factual outputs without requiring diversity-promoting techniques.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.5 Additional Results
87,NarrativeText,"Retrieval Ablations A key feature of RAG is learning to retrieve relevant information for the task. To assess the effectiveness of the retrieval mechanism, we run ablations where we freeze the retriever during training. As shown in Table 6, learned retrieval improves results for all tasks.",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This block discusses the importance of the retrieval mechanism in RAG, particularly highlighting the benefits of learned retrieval over fixed BM25 retrieval for various NLP tasks.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.5 Additional Results
88,NarrativeText,"We compare RAG’s dense retriever to a word overlap-based BM25 retriever [53]. Here, we replace RAG’s retriever with a ﬁxed BM25 system, and use BM25 retrieval scores as logits when calculating p(z|x). Table 6 shows the results. For FEVER, BM25 performs best, perhaps since FEVER claims are heavily entity-centric and thus well-suited for word overlap-based retrieval. Differentiable retrieval improves results on all other tasks, especially for Open-Domain QA, where it is crucial.",application/pdf,['eng'],7,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks.pdf,"This block compares the performance of RAG's dense retriever with a BM25 retriever on different tasks, highlighting the strengths of each approach.","Patrick Lewis,Ethan Perez,Aleksandra Piktus,Fabio Petroni,Vladimir Karpukhin,Naman Goyal,Heinrich KÃ¼ttler,Mike Lewis,Wen-tau Yih,Tim RocktÃ¤schel,Sebastian Riedel,Douwe Kiela","Facebook AI Research,University College London,New York University",2020,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,4.5 Additional Results
